fdc_id,data_type,description,nutrient_id,amount,nutrient_name,unit_name,brand_name,branded_food_category
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1258,1.67,"Fatty acids, total saturated",G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1087,667.0,"Calcium, Ca",MG,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1093,633.0,"Sodium, Na",MG,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1104,0.0,"Vitamin A, IU",IU,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",2000,6.67,"Sugars, total including NLEA",G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1079,3.3,"Fiber, total dietary",G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1005,20.0,"Carbohydrate, by difference",G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1004,1.67,Total lipid (fat),G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1003,66.67,Protein,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1210,0.757,Tryptophan,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1215,0.693,Methionine,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1224,10.367,Glutamic acid,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1223,6.967,Aspartic acid,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1217,3.167,Phenylalanine,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1225,3.007,Glycine,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1219,3.123,Valine,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1211,2.31,Threonine,G,,"Energy, Protein & Muscle Recovery Drinks"
405106,branded_food,"VEGA, PROTEIN & GREENS DRINK MIX, VANILLA",1221,1.403,Histidine,G,,"Energy, Protein & Muscle Recovery Drinks"
